Auto,Heating,Concentration,Batch,Sample,Elastic Modulus_mean,Elastic Modulus_std,Yield Strength_mean,Yield Strength_std,Creep Strain_mean,Creep Strain_std,Plateau Slope_mean,Plateau Slope_std,Densification Slope_mean,Densification Slope_std,Changepoint_mean,Changepoint_std,Average Standard Deviation_mean,Average Standard Deviation_std,Coefficient of Variation_mean,Coefficient of Variation_std,Mixing Height and Lift Adjusted,Heated Container,Heated Block,Heating Block Temperature,Mixed,Rest Time (days),Coupon-to-Bath Wait Time (min),Cast Position Adjusted,Lifting Delay,Date,Relative Humidity,Nitrogen (Side from drop),Nitrogen (After blade),Coefficient of Variation
True,False,12.0,32,1,119.79704241922373,42.29097967612573,30.198831868846458,24.476588018156733,0.019308681621223966,0.003573727413219789,63.14237068622202,26.110583083365047,1307.765371936134,48.09148799715358,0.8865900728400525,0.07105317783524476,54.798721861493696,0.0,0.0753338572898143,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-14,46,0,0,0.0753338572898143
False,False,12.0,35,1,95.3466236160471,20.09313696375353,65.89431498485116,3.8255398208011093,0.021647058519724136,0.005969447232564579,37.16927767096815,36.77986140872952,1236.4510838646547,176.0298990468428,0.8190898690649823,0.12312239560256681,52.99811165387539,0.0,0.1175836874882092,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.1175836874882092
True,False,12.0,33,1,106.70108583654164,5.391885422627492,68.59764419146565,0.917449887471963,0.02619343370389525,0.0009391017587063189,25.431133893649275,13.313373203786417,995.6185827336711,190.1859764142853,0.868994555524633,0.008362192056654685,50.772516248788776,0.0,0.1874926550133436,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.1874926550133436
True,False,10.0,6,1,35.102261317001975,20.823965707871736,17.952590247100957,5.638945499197156,,,79.80620041389196,35.85689763597132,1819.501579385269,256.3894288445897,0.9141388826098992,0.17764008515829544,58.42112637002608,0.0,0.1910785328732259,0.0,1,0,0,25,True,1,0.0,1,0,2024-02-28,77,0,0,0.1910785328732259
True,False,10.0,21,1,56.88500845389184,18.46788501861061,32.642526613272786,6.886119909525303,0.016055180265596426,0.003176524799117844,81.95724569887815,38.34013292649751,1857.5639341743977,223.8848128368922,0.776837361554923,0.1736920843501259,59.78775024418383,0.0,0.1974618525899356,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-13,76,0,0,0.1974618525899356
True,False,17.0,19,2,242.91509227554656,26.320162235539822,53.29180792101937,53.3616754505929,0.060545693194568956,0.0008839658882710487,680.6481740496316,620.6892229688629,370.8013925632121,746.632154861808,0.4538126779195276,0.005219637262677131,47.73680293624742,0.0,0.1292678303822495,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,1,0,0.1292678303822495
True,False,16.0,14,1,220.5104016857166,16.602282885070377,19.736372223776353,2.9786997419137573,,,178.39234458670325,2.3085756822712726,857.3346652176369,12.199574553008148,0.7723484870443746,0.032193294403272885,43.61196571072532,0.0,0.0731661529503707,0.0,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.0731661529503707
True,False,12.0,11,1,42.736240369816734,1.2583044785483548,2.833861485754093,0.18863773542119958,,,28.129572205418203,0.732861944127271,1299.3843689175458,76.48561816812301,0.7240823175971333,0.029192245790302166,58.78125532046604,0.0,0.0306690156490811,0.0,1,0,0,25,True,1,0.0,1,1,2024-05-30,49,0,0,0.0306690156490811
True,False,17.0,4,1,178.97379271834268,2.9999093305807825,14.504131665827858,0.41573489845216477,,,75.42715995908907,1.6296857504772535,836.8548908088826,34.86954936043245,0.5840273433503027,0.007062042738050385,48.10653257377453,0.0,0.010787465803181,0.0,1,0,0,25,False,4,0.0,1,0,2024-02-26,59,0,0,0.010787465803181
True,False,10.0,5,1,51.16844398555743,25.54090803771766,20.33287424583531,5.869293733480704,,,77.36786753696909,28.153832620163183,1697.85743703301,319.3686601479916,0.8346111824937772,0.1823880117475448,52.56128457088267,0.0,0.2172468147816184,0.0,1,0,0,25,True,0,0.0,1,0,2024-02-23,61,0,0,0.2172468147816184
True,False,17.0,22,1,231.07458974395303,,21.06843570409208,,0.0290483416431823,,148.49201062017949,,899.3023429350545,,0.787545848351507,,49.557258293684896,,0.1875389813420076,,1,0,0,25,False,0,0.0,1,1,2024-09-17,66,1,0,0.1875389813420076
False,False,10.0,35,1,79.49162278991126,16.744100201540437,10.078773177144956,1.835607402274327,0.01306347476585565,0.0018795685802386465,14.247662684980412,1.251399368829103,1720.3185850550642,41.01604053167564,0.9559286708555631,0.009388687027254152,61.28712471533423,0.0,0.0232043729526983,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.0232043729526983
True,False,12.0,34,1,72.06868568538891,25.101742726271482,7.015963971660586,1.909973870194534,0.021812953096642065,0.0029219425135337627,41.21337521595756,18.453422992204978,1195.494093175482,191.72048081088104,0.7544451212371105,0.055893260704130324,59.492471106907495,0.0,0.0882150614707169,0.0,1,0,0,25,True,1,0.0,1,1,2024-11-15,50,0,0,0.0882150614707169
True,False,14.0,11,1,88.47667256854467,5.732844115680445,8.500486921328198,0.50821717032143,,,43.748105381064484,1.4199993108490379,976.0495031339324,16.0808732338186,0.6513396398883925,0.004839882928402087,53.992090232168906,0.0,0.0101271005257615,0.0,1,0,0,25,True,1,0.0,1,1,2024-05-30,49,0,0,0.0101271005257615
False,False,17.0,16,1,242.7128680778461,8.835838456758495,16.756293737476433,0.7270703326755813,0.04151016499731493,0.0016775918148717209,138.93982278321616,5.579921094058597,841.3167288448373,69.4905175036429,0.5153238125823921,0.03255661076046669,50.83237394998637,0.0,0.0469883707228615,0.0,1,0,0,25,False,0,0.0,1,1,2024-08-30,87,0,0,0.0469883707228615
True,False,10.0,13,1,106.8193434000782,,14.184019598673794,,,,57.60742311262184,,1416.7022964414057,,1.0362101555227878,,51.49198512331223,,0.1645783323593014,,1,0,0,25,True,1,0.0,1,1,2024-07-24,80,1,0,0.1645783323593014
False,False,15.0,31,1,204.17680289774339,9.182566793760467,24.434877787625965,7.6568247258352065,0.036448908141581034,0.01008728625321175,130.425419806403,40.76441436809992,793.827378131779,178.84704630317137,0.8203975834118781,0.03415441008379529,49.436475856606286,0.0,0.1084532232683479,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.1084532232683479
False,False,12.0,31,1,109.60733027971378,18.69956351898476,51.20737126009681,3.2258343476218805,0.02044589152133733,0.0019221109147648462,9.361885617882756,20.096552413632704,1338.442846074603,117.86257738418696,0.6448951297891896,0.14945929399421098,53.648280186681184,0.0,0.1696256581908739,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.1696256581908739
True,False,17.0,18,1,188.55697291016554,5.036490419679529,14.804894592358854,0.09040522346528254,0.03991217044622615,0.00013768165431547047,80.35145999773727,3.9712693891182433,808.5553505420207,4.658664481719411,0.5375914399767907,0.009181124178079493,53.13684706646251,0.0,0.0175867814119889,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-09,82,0,0,0.0175867814119889
True,False,12.0,13,1,141.45379911190125,10.770891577106177,16.557506796899347,2.0028780638130037,,,105.79673169929337,8.744943054383368,1095.1665562207322,275.4721205282091,1.004751418117732,0.02006998783064441,50.258788821995985,0.0,0.0547502728306389,0.0,1,0,0,25,True,1,0.0,1,1,2024-07-24,80,1,0,0.0547502728306389
True,False,17.0,15,2,242.41091008794928,,21.97646801568376,,0.0760869565217391,,180.2769565310334,,461.2758098362908,,0.7777088491498731,,49.61818841386517,,0.1083970453226416,,1,0,0,25,False,0,0.0,1,1,2024-08-26,67,1,0,0.1083970453226416
True,False,17.0,15,1,224.5706110108938,35.966040527349776,76.98668343239137,78.40997597659633,0.10014243150933794,0.07379479620649856,143.47186093852287,106.36359964961342,-21.296861297310272,1255.3686298847151,0.5578154986888243,0.1353056232156097,47.83979613253038,0.0,0.1292730641207636,0.0,1,0,0,25,False,0,0.0,1,1,2024-08-26,67,1,0,0.1292730641207636
True,False,17.0,33,1,277.3861208337041,3.0201731849168727,21.128670184002036,2.333047760850545,0.04598643728946428,0.01011079747898948,210.7209213521325,23.725665206924237,695.5864926010323,148.78077143297995,0.6442570153766152,0.09323588279874793,47.53072107366621,0.0,0.1246277450731985,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.1246277450731985
True,False,10.0,6,3,48.22854697312115,29.08085981480501,5.892106147426683,2.198329321261429,,,41.40361065490252,18.76207260939693,1089.7911149345694,143.14231649938566,0.8205391835091218,0.2126815895064763,54.43953434549597,0.0,0.2623957178880957,0.0,1,0,0,25,True,3,0.0,1,0,2024-03-01,55,0,0,0.2623957178880957
False,False,17.0,16,2,233.72437240576676,30.147971307947007,16.456137542934158,1.80280436499038,0.049545864162397896,0.006933899023445368,138.23984321622964,12.237866441559277,795.859406450571,95.01476547653756,0.5170294755736429,0.0010351373789555438,50.82921163921717,0.0,0.0333069966158309,0.0,1,0,0,25,False,0,0.0,1,1,2024-08-30,87,0,0,0.0333069966158309
True,False,10.0,11,1,28.085883195904362,4.173773558350792,2.2239191099293145,0.2406576099695616,,,19.51227906169096,1.0172530368367874,1429.385524972051,59.04761880255258,0.8054172854183598,0.02843050488406974,59.79727725688352,0.0,0.0310805336353034,0.0,1,0,0,25,True,1,0.0,1,1,2024-05-29,58,0,0,0.0310805336353034
True,False,11.63,3,1,98.05789122606569,6.692939933201876,9.996794146781792,0.8849013960948273,,,46.52981064571246,3.1236967532632796,935.6186454435386,34.95453351196091,0.6758018288591285,0.009656691941838259,52.82972029577995,0.0,0.010548770121783,0.0,1,0,0,25,True,4,0.0,1,0,2024-02-12,64,0,0,0.010548770121783
True,False,12.0,23,2,42.124759091300646,17.225429186081374,5.3137801457759855,2.9044922125227837,0.02726404739373668,0.003336806985513443,39.143442780744095,9.669026240288341,1114.6927779380223,156.60492752839096,0.6733644180075113,0.014629623765463532,60.97061481787034,0.0,0.036970658460201,0.0,1,0,0,25,True,0,0.0,1,1,2024-09-19,74,0,0,0.036970658460201
True,False,15.0,32,1,152.72295816440803,47.633802896985586,49.93026736615739,27.129715838966515,0.0265062435280471,0.004107778963916058,81.07459312613359,22.140944746773656,1225.2191466757065,76.92135857474399,0.7024185281645955,0.21013908078882476,50.620427211763314,0.0,0.2488577701658227,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-14,46,0,0,0.2488577701658227
True,False,11.63,4,1,39.13465426900338,6.45266933330147,6.258645463259671,2.8704338603627377,,,23.462340453277434,2.630688552815629,1447.3136562210943,271.45624125279875,0.7914473360290114,0.11670354802978021,57.5630022537426,0.0,0.1294980837246026,0.0,1,0,0,25,True,1,0.0,1,0,2024-02-23,61,0,0,0.1294980837246026
True,False,10.0,4,1,24.71538796928362,16.843144908824733,9.369946746559348,10.441577716553445,,,321.25124684183106,427.3687939667448,2210.7380583142576,1100.3661913511582,0.6707380147343338,0.11625344113673614,47.62788869411642,0.0,0.1562725159213004,0.0,1,0,0,25,True,1,0.0,1,0,2024-02-23,61,0,0,0.1562725159213004
False,False,10.0,17,1,81.74085575257114,1.7422729652971345,38.116386855927054,2.8882337839083316,0.013262523648425034,0.003263229986776074,0.6293503587438168,9.739950354814793,1630.1157985920436,252.2615030535751,0.6806481185020773,0.10048832278523227,57.503526917919686,0.0,0.1526492453480654,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-06,84,0,0,0.1526492453480654
True,False,17.0,18,2,171.00469374345903,6.907569449747703,13.02922459149873,0.5909656057993157,0.03976618747641175,0.0015508056860781105,76.53167299478486,1.9857007610676847,944.1642589626114,23.2918398971737,0.5553363635325227,0.008759130233653455,54.50701011299058,0.0,0.0178713984480577,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-09,82,0,0,0.0178713984480577
True,False,14.43,4,1,120.16287053478321,4.141987247519347,10.741580345607066,0.14612202247801284,,,53.43799883772352,1.4894850309328054,935.1704241558018,32.24295191854798,0.6286764185229821,0.01390945371008951,52.62049976014764,0.0,0.0231233544603442,0.0,1,0,0,25,True,4,0.0,1,0,2024-02-26,59,0,0,0.0231233544603442
True,False,12.0,23,1,51.50598562924656,9.912076116142012,8.255106779179934,3.2340661025035504,0.02176063342812996,0.002175441485490014,46.067373070518784,10.754823036501145,1189.3654311830733,150.8104211950376,0.7035067206465107,0.04421942242491963,60.127520850116014,0.0,0.0442878696102428,0.0,1,0,0,25,True,0,0.0,1,1,2024-09-19,74,0,0,0.0442878696102428
True,False,16.0,11,1,162.77817832797786,3.3689341742344587,13.547134742673355,0.2874120319091755,,,60.63448254079384,0.5315647114292942,1001.4183218468746,33.86150881759012,0.5831064499056922,0.011692466225096296,49.90479770430544,0.0,0.0117603400510763,0.0,1,0,0,25,True,1,0.0,1,1,2024-05-30,49,0,0,0.0117603400510763
False,False,10.0,17,2,71.68894182884907,14.738893120766607,34.48842958846689,15.511729289919074,0.012664469205348925,0.0030844491683792797,70.06136257230354,31.590474679932477,1783.0636221585708,121.58552632790195,0.7843733089061031,0.13708889444379593,57.52979793069111,0.0,0.1504491736484541,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-06,84,0,0,0.1504491736484541
True,False,10.0,32,1,50.104313602035774,,10.9834084117028,,0.0127579737335835,,23.08309180466845,,2047.2767469574435,,0.8154675741254637,,59.465339707175,,0.0,,1,0,0,25,False,0,0.0,1,1,2024-11-14,46,0,0,0.0
False,False,10.0,31,1,66.30151481091211,15.957097703315787,26.9051064704508,30.310885778551274,0.014821185591254634,0.0014385301444581266,538.4864805015328,911.0080905196129,1189.9837395324996,861.6949479494717,1.0417558309785162,0.048250880307542585,62.35404351125038,0.0,0.0202725410106133,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.0202725410106133
True,False,17.0,20,1,174.66437205644556,5.930793193526404,35.62509506820477,44.362358023156105,0.042402755938184974,0.001349087803217322,199.80632168521907,236.7870508322669,604.2051755833004,582.6998192738779,0.5731876402314616,0.05733599627027886,53.9672426851166,0.0,0.0122635721180823,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,0,0,0.0122635721180823
True,False,15.0,34,1,140.76871335709305,24.681103898979433,16.90201955130238,9.655240251641644,0.02683291785186668,0.0026471513656084454,93.43946549607851,34.18563995055171,1014.4177032959175,63.69034911308913,0.6787132098617198,0.07418015860182692,54.96002117640876,0.0,0.1378760606306617,0.0,1,0,0,25,True,1,0.0,1,1,2024-11-15,50,0,0,0.1378760606306617
True,False,14.0,14,1,207.09310351510177,12.863644902649401,21.44359956680088,3.1621256433156715,,,165.8072546985551,24.66075186706212,499.18438849870535,366.22208804326783,0.633804528100324,0.2893078449883263,42.64673056891623,0.0,0.2218262515514147,0.0,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.2218262515514147
True,False,10.0,34,1,53.46447392343188,6.942689884226931,10.900464430719945,0.9728040082556959,0.015511366779726433,0.0005632301354706557,45.75062451760986,6.912139913374766,1569.7661855949282,127.17296858897951,0.6798791417963527,0.09297197830882874,61.19147106140587,0.0,0.1109236508774706,0.0,1,0,0,25,True,1,0.0,1,1,2024-11-15,50,0,0,0.1109236508774706
True,False,17.0,5,1,159.30709474405634,5.909893594619682,13.0725945399517,0.35087057084942436,,,71.10918319489892,1.1825955797093692,899.2419022670622,13.073927636101903,0.5940239909546261,0.013233207499657163,48.59661303100573,0.0,0.0172974818979834,0.0,1,0,0,25,False,0,0.0,1,0,2024-02-23,61,0,0,0.0172974818979834
True,False,10.0,3,1,95.58773206251,26.5521550711158,28.458191106579342,40.19123887556023,,,233.27539610050454,374.9246154559832,707.3145694066942,518.7275586716872,0.7257709081425072,0.045516799652703895,53.797772229227874,0.0,0.0369151626276435,0.0,1,0,0,25,True,4,0.0,1,0,2024-02-12,64,0,0,0.0369151626276435
True,False,10.0,33,1,73.67122147772203,15.512532697662776,9.651203160690601,1.8787671488328581,0.0137231583092547,0.0035683324784486913,19.049305928065348,2.2237866010736647,1768.8152586765616,114.286837302091,0.955023078282772,0.015906739177471544,61.40689803226863,0.0,0.0246575938241138,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.0246575938241138
True,False,10.0,14,1,74.82276309333224,43.453009186812594,30.65535711799748,20.467757938765764,,,84.51000741787138,14.73313363816283,1467.591063574732,60.366148668233905,0.7183369617785612,0.19345570780057536,52.277640467682815,0.0,0.2097304584833973,0.0,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.2097304584833973
True,False,17.0,34,1,228.4671903908735,9.538178912130372,18.22295727561364,3.6088732109438446,0.04249914051546444,0.002608833810232763,174.93285531844253,33.06261302392813,812.9582742271958,59.89719783949387,0.5309449695862783,0.03706693737320372,50.07096160159485,0.0,0.0746555922426995,0.0,1,0,0,25,False,1,0.0,1,1,2024-11-15,50,0,0,0.0746555922426995
True,False,10.0,21,2,45.87195384392433,12.394417825650315,7.497021708428959,6.140281349876041,0.018885475757849365,0.0036147443893536912,41.27780258833568,16.586251829552502,1465.5814615983925,166.51842476522867,0.6557258541634886,0.05111401029457524,61.657984361425456,0.0,0.08795439984879731,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-13,76,0,0,0.0879543998487973
False,False,15.0,35,1,117.40631603510326,32.21395567183786,67.90110622614404,7.814665105725691,0.04696831183915465,0.02106217838092144,99.04653030424132,112.76784003367734,808.4160311379596,366.9976710966065,0.813168910329926,0.025423619923580706,52.00037042433514,0.0,0.1900406580192828,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.1900406580192828
True,False,17.0,3,1,179.2410423946837,23.71078197252873,58.30330971037684,66.35736374008198,,,-912.8007727541099,1533.960520901146,541.0927919198687,164.8768891097686,0.6593077572518787,0.026613913591943164,47.94906400440546,0.0,0.0133837168423742,0.0,1,0,0,25,False,4,0.0,1,0,2024-02-12,64,0,0,0.0133837168423742
True,False,10.0,6,2,39.58562154046682,39.763990740849046,20.8157206498308,15.489025701825437,,,171.01177514175603,155.9001041097071,1926.0093689123453,868.5636186129187,0.9056396305288293,0.2167497833678121,45.6055490508594,0.0,0.2706248071614617,0.0,1,0,0,25,True,2,0.0,1,0,2024-02-29,56,0,0,0.2706248071614617
True,False,12.0,14,1,147.00005295683096,11.212938111150384,53.341359107865614,28.130861182984667,,,143.09033060253148,64.59963406104185,922.0533197395669,409.85602341133625,0.6113640477980905,0.19480221893146646,46.72610490126114,0.0,0.1795733249293623,0.0,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.1795733249293623
True,False,17.0,20,2,181.925661105008,11.151734307208322,14.169108219207649,0.4108637147512519,0.04033427364689075,0.003910219252417209,77.84246118414916,2.1415105566323627,837.9484537099935,53.91294739936132,0.538611406431412,0.012415486543112425,53.52766462521817,0.0,0.019918058874793,0.0,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,0,0,0.019918058874793
True,False,15.0,33,1,182.9546167355371,28.1139343788695,57.7328976597988,52.2326699793316,0.04380102716323825,0.021310762519485413,122.39116027168262,3.321934447417671,697.113484599242,401.92236333419083,0.8126425578924406,0.04089846681532182,49.226710978297525,0.0,0.228507911525661,0.0,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.228507911525661
